,sort,dim,length,power,accuracy
0,lenet5_1d,1,120,0hp,10.429042726755142
1,lenet5_1d,1,120,1hp,11.155115514993668
2,lenet5_1d,1,120,2hp,10.894039794802666
3,lenet5_1d,1,120,3hp,9.407894611358643
4,lenet5_1d,1,300,0hp,13.649538829922674
5,lenet5_1d,1,300,1hp,9.802110642194748
6,lenet5_1d,1,300,2hp,13.337730914354323
7,lenet5_1d,1,300,3hp,18.723684176802635
8,lenet5_1d,1,900,0hp,92.87285625934601
9,lenet5_1d,1,900,1hp,68.20862710475922
10,lenet5_1d,1,900,2hp,96.75330340862274
11,lenet5_1d,1,900,3hp,96.66520237922668
12,lenet5_1d,1,1500,0hp,91.87381446361542
13,lenet5_1d,1,1500,1hp,86.72806084156036
14,lenet5_1d,1,1500,2hp,88.87774527072906
15,lenet5_1d,1,1500,3hp,91.67658150196075
16,lenet5_2d,2,120,0hp,78.91089081764221
17,lenet5_2d,2,120,1hp,70.33003211021423
18,lenet5_2d,2,120,2hp,81.78807944059372
19,lenet5_2d,2,120,3hp,85.6578940153122
20,lenet5_2d,2,300,0hp,83.63636314868927
21,lenet5_2d,2,300,1hp,80.21108090877533
22,lenet5_2d,2,300,2hp,87.32189953327179
23,lenet5_2d,2,300,3hp,74.42105323076248
24,lenet5_2d,2,900,0hp,87.24153101444244
25,lenet5_2d,2,900,1hp,88.75880300998688
26,lenet5_2d,2,900,2hp,96.92951560020447
27,lenet5_2d,2,900,3hp,97.48681902885437
28,lenet5_2d,2,1500,0hp,84.64121252298355
29,lenet5_2d,2,1500,1hp,81.40845090150833
30,lenet5_2d,2,1500,2hp,99.90783393383026
31,lenet5_2d,2,1500,3hp,91.99026420712471
32,wdcnn_1d,1,120,0hp,19.570956826210022
33,wdcnn_1d,1,120,1hp,15.874587595462799
34,wdcnn_1d,1,120,2hp,18.774834349751472
35,wdcnn_1d,1,120,3hp,18.28947350382805
36,wdcnn_1d,1,300,0hp,70.39525747299194
37,wdcnn_1d,1,300,1hp,51.25329822301865
38,wdcnn_1d,1,300,2hp,56.76781058311462
39,wdcnn_1d,1,300,3hp,52.64473721385002
40,wdcnn_1d,1,900,0hp,99.85041856765747
41,wdcnn_1d,1,900,1hp,99.70510601997375
42,wdcnn_1d,1,900,2hp,99.95154142379761
43,wdcnn_1d,1,900,3hp,99.98681962490082
44,wdcnn_1d,1,1500,0hp,99.95125889778137
45,wdcnn_1d,1,1500,1hp,99.89436686038971
46,wdcnn_1d,1,1500,2hp,99.99457836151123
47,wdcnn_1d,1,1500,3hp,99.99729573726654
48,DF,1,120,0hp,84.62046204620461
49,DF,1,120,1hp,78.77887788778878
50,DF,1,120,2hp,80.33112582781457
51,DF,1,120,3hp,85.88815789473684
52,DF,1,300,0hp,95.8893280632411
53,DF,1,300,1hp,95.27704485488127
54,DF,1,300,2hp,95.46174142480211
55,DF,1,300,3hp,97.88157894736841
56,DF,1,900,0hp,99.001319841619
57,DF,1,900,1hp,99.11091549295774
58,DF,1,900,2hp,99.70044052863436
59,DF,1,900,3hp,99.56502636203865
60,DF,1,1500,0hp,99.24993230435959
61,DF,1,1500,1hp,99.46912242686889
62,DF,1,1500,2hp,99.87801572241798
63,DF,1,1500,3hp,99.75392103839914
64,lenet5DF_1d,1,120,0hp,99.10891089108911
65,lenet5DF_1d,1,120,1hp,96.8976897689769
66,lenet5DF_1d,1,120,2hp,99.63576158940397
67,lenet5DF_1d,1,120,3hp,99.96710526315789
68,lenet5DF_1d,1,300,0hp,99.80237154150197
69,lenet5DF_1d,1,300,1hp,98.83905013192611
70,lenet5DF_1d,1,300,2hp,99.9868073878628
71,lenet5DF_1d,1,300,3hp,100.0
72,lenet5DF_1d,1,900,0hp,99.99560052793666
73,lenet5DF_1d,1,900,1hp,99.97359154929578
74,lenet5DF_1d,1,900,2hp,100.0
75,lenet5DF_1d,1,900,3hp,99.99560632688927
76,lenet5DF_1d,1,1500,0hp,99.98916869753589
77,lenet5DF_1d,1,1500,1hp,99.98104008667389
78,lenet5DF_1d,1,1500,2hp,99.91054486310654
79,lenet5DF_1d,1,1500,3hp,99.99729583558681
80,lenet5DF_2d,2,120,0hp,98.9108910891089
81,lenet5DF_2d,2,120,1hp,96.76567656765675
82,lenet5DF_2d,2,120,2hp,99.7682119205298
83,lenet5DF_2d,2,120,3hp,100.0
84,lenet5DF_2d,2,300,0hp,99.86824769433466
85,lenet5DF_2d,2,300,1hp,99.52506596306068
86,lenet5DF_2d,2,300,2hp,100.0
87,lenet5DF_2d,2,300,3hp,100.0
88,lenet5DF_2d,2,900,0hp,99.95160580730312
89,lenet5DF_2d,2,900,1hp,99.67429577464789
90,lenet5DF_2d,2,900,2hp,99.99559471365639
91,lenet5DF_2d,2,900,3hp,100.0
92,lenet5DF_2d,2,1500,0hp,99.99729217438397
93,lenet5DF_2d,2,1500,1hp,99.92416034669556
94,lenet5DF_2d,2,1500,2hp,99.99728923827595
95,lenet5DF_2d,2,1500,3hp,100.0
96,wdcnnDF_1d,1,120,0hp,97.42574257425743
97,wdcnnDF_1d,1,120,1hp,97.95379537953795
98,wdcnnDF_1d,1,120,2hp,98.80794701986756
99,wdcnnDF_1d,1,120,3hp,97.79605263157895
100,wdcnnDF_1d,1,300,0hp,99.57839262187089
101,wdcnnDF_1d,1,300,1hp,99.07651715039579
102,wdcnnDF_1d,1,300,2hp,99.85488126649076
103,wdcnnDF_1d,1,300,3hp,99.90789473684211
104,wdcnnDF_1d,1,900,0hp,99.95160580730312
105,wdcnnDF_1d,1,900,1hp,99.86795774647888
106,wdcnnDF_1d,1,900,2hp,99.99118942731278
107,wdcnnDF_1d,1,900,3hp,99.99560632688927
108,wdcnnDF_1d,1,1500,0hp,99.9918765231519
109,wdcnnDF_1d,1,1500,1hp,99.96749729144095
110,wdcnnDF_1d,1,1500,2hp,100.0
111,wdcnnDF_1d,1,1500,3hp,99.98377501352083
112,proposed_2d,2,120,0hp,78.25082570314407
113,proposed_2d,2,120,1hp,80.06600677967072
114,proposed_2d,2,120,2hp,85.9271514415741
115,proposed_2d,2,120,3hp,89.07894849777222
116,proposed_2d,2,300,0hp,94.86166000366211
117,proposed_2d,2,300,1hp,97.25593686103821
118,proposed_2d,2,300,2hp,97.38786220550537
119,proposed_2d,2,300,3hp,98.06578934192657
120,proposed_2d,2,900,0hp,98.64936172962189
121,proposed_2d,2,900,1hp,97.5616192817688
122,proposed_2d,2,900,2hp,98.43612432479858
123,proposed_2d,2,900,3hp,99.8681902885437
124,proposed_2d,2,1500,0hp,97.03222274780273
125,proposed_2d,2,1500,1hp,98.31256806850433
126,proposed_2d,2,1500,2hp,99.50121998786926
127,proposed_2d,2,1500,3hp,99.86749529838562
128,proposedDF_2d,2,120,0hp,99.10891089108911
129,proposedDF_2d,2,120,1hp,99.04290429042904
130,proposedDF_2d,2,120,2hp,99.90066225165563
131,proposedDF_2d,2,120,3hp,99.96710526315789
132,proposedDF_2d,2,300,0hp,99.96047430830039
133,proposedDF_2d,2,300,1hp,99.73614775725594
134,proposedDF_2d,2,300,2hp,99.96042216358839
135,proposedDF_2d,2,300,3hp,100.0
136,proposedDF_2d,2,900,0hp,100.0
137,proposedDF_2d,2,900,1hp,99.93397887323945
138,proposedDF_2d,2,900,2hp,99.99559471365639
139,proposedDF_2d,2,900,3hp,100.0
140,proposedDF_2d,2,1500,0hp,100.0
141,proposedDF_2d,2,1500,1hp,99.99729144095342
142,proposedDF_2d,2,1500,2hp,100.0
143,proposedDF_2d,2,1500,3hp,100.0
144,proposed_1d,1,300,0hp,81.56785190105438
145,proposed_1d,1,300,1hp,73.41688752174377
146,proposed_1d,1,300,2hp,80.02638459205627
147,proposed_1d,1,300,3hp,70.31578838825226
148,proposedDF_1d,1,300,0hp,99.96047430830039
149,proposedDF_1d,1,300,1hp,99.93403693931398
150,proposedDF_1d,1,300,2hp,100
151,proposedDF_1d,1,300,3hp,100
152,wdcnn_2d,2,300,0hp,86.17918193340302
153,wdcnn_2d,2,300,1hp,84.90765154361725
154,wdcnn_2d,2,300,2hp,90.6596302986145
155,wdcnn_2d,2,300,3hp,94.81578946113586
156,wdcnnDF_2d,2,300,0hp,99.59156785243741
157,wdcnnDF_2d,2,300,1hp,99.90765171503956
158,wdcnnDF_2d,2,300,2hp,100
159,wdcnnDF_2d,2,300,3hp,100
